MQ-2 Normal Atmosphere,MQ-2 Contaminated Atmosphere,MQ-5Normal Atmosphere,MQ-5 Contaminated Atmosphere (Natural gas),MQ-6 Normal Atmosphere ,MQ-6 Contaminated LPG gas detected ,MQ-8 Normal Atmosphere,MQ-8 Contaminated Atmosphere,MQ-9 Normal Atmosphere,MQ-9 Contaminated Flammable gas detected ,MQ-135 Normal Atmosphere,MQ-135 Contaminated Atmosphere,Time (sec)
83,338,124,481,471,613,145,294,96,554,146,1016,37.2
84,339,124,481,471,615,144,294,97,555,145,1015,37.3
83,339,124,481,471,616,144,295,97,554,145,1016,37.4
83,339,124,481,471,615,144,295,97,556,146,1016,37.5
83,339,125,481,471,613,144,295,97,554,146,1016,37.6
83,339,124,482,471,613,144,296,96,555,146,1016,37.7
83,338,125,482,471,610,144,296,97,553,145,1016,37.8
83,339,124,482,471,607,144,296,96,555,145,1016,37.9
83,338,124,482,471,607,144,297,97,554,145,1017,38
83,339,124,482,471,614,144,297,97,555,146,1017,38.1
84,338,124,482,471,675,145,297,96,554,145,1016,38.2
83,339,124,482,471,785,144,298,97,555,145,1016,38.3
84,338,124,482,471,809,144,298,97,554,146,1016,38.4
83,338,124,483,471,804,144,299,97,554,146,1016,38.5
84,339,124,482,471,793,143,300,97,554,145,1016,38.6
83,339,125,483,471,772,144,299,97,1017,145,1015,38.7
84,338,125,483,472,750,144,300,97,1016,146,1015,38.8
83,338,124,483,471,770,144,300,96,1016,145,1015,38.9
85,339,124,483,471,806,144,300,97,1016,146,1015,39
84,338,124,483,471,804,144,301,97,1017,146,1014,39.1
83,339,124,483,471,812,145,301,97,1017,146,1014,39.2
84,339,124,483,471,809,145,301,97,1016,146,1015,39.3
83,338,124,483,471,806,144,302,97,1016,146,1015,39.4
83,339,124,484,471,800,144,302,97,1017,145,1015,39.5
83,338,125,483,471,795,144,302,96,1016,146,1015,39.6
84,338,124,484,471,803,144,302,97,1016,146,1015,39.7
83,338,124,483,471,799,143,303,96,1016,145,1015,39.8
83,338,124,484,471,805,144,303,97,1016,145,1015,39.9
83,338,124,483,471,803,144,304,96,1017,146,1015,40
83,338,124,484,471,804,144,304,96,1017,146,1015,40.1
83,338,124,484,471,802,144,304,97,1016,146,1015,40.2
84,338,124,484,471,806,144,304,96,1016,145,1015,40.3
84,338,124,484,471,808,144,305,97,1017,145,1014,40.4
83,338,124,484,472,811,144,305,97,1016,146,1015,40.5
83,338,124,484,471,806,144,305,97,1017,145,1015,40.6
83,338,124,484,471,807,144,306,97,1016,145,1014,40.7
83,339,125,484,471,786,145,306,97,1017,146,1015,40.8
84,338,124,485,471,795,144,306,96,1017,145,1014,40.9
83,338,124,484,471,802,144,306,96,1017,145,1014,41
