Normal Atmosphere,Polluted Atmosphere,Time (sec)
145,1015,109.2
145,1015,109.3
145,1015,109.4
145,1016,109.5
145,1015,109.6
145,1015,109.7
146,1015,109.8
145,1015,109.9
145,1015,110
145,1015,110.1
145,1015,110.2
145,1015,110.3
145,1015,110.4
145,1015,110.5
145,1015,110.6
145,1015,110.7
145,1015,110.8
145,1015,110.9
145,1014,111
145,1015,111.1
145,1015,111.2
145,1015,111.3
146,1015,111.4
145,1015,111.5
145,1016,111.6
145,1016,111.7
145,1015,111.8
145,1016,111.9
145,1015,112
145,1015,112.1
145,1015,112.2
145,1015,112.3
145,1015,112.4
145,1015,112.5
146,1015,112.6
144,1014,112.7
145,1015,112.8
146,1014,112.9
145,1014,113
145,1013,113.1
145,1015,113.2
146,1014,113.3
146,1016,113.4
144,1016,113.5
145,1013,113.6
145,1016,113.7
146,1015,113.8
146,1017,113.9
145,1016,114
144,1017,114.1
146,1017,114.2
146,1016,114.3
145,1016,114.4
145,1016,114.5
145,1016,114.6
145,1016,114.7
145,1016,114.8
145,1016,114.9
146,1015,115
145,1017,115.1
145,1016,115.2
145,1016,115.3
145,1016,115.4
145,1016,115.5
144,1016,115.6
146,1016,115.7
145,1015,115.8
145,1016,115.9
145,1016,116
145,1016,116.1
146,1016,116.2
145,1016,116.3
145,1016,116.4
145,1016,116.5
145,1016,116.6
146,1016,116.7
145,1016,116.8
145,1016,116.9
145,1016,117
145,1016,117.1
145,1016,117.2
146,1016,117.3
145,1016,117.4
145,1017,117.5
145,1017,117.6
145,1016,117.7
145,1016,117.8
146,1016,117.9
145,1016,118
145,1016,118.1
145,1016,118.2
145,1016,118.3
145,1016,118.4
145,1016,118.5
146,1016,118.6
145,1015,118.7
145,1016,118.8
145,1015,118.9
145,1016,119
145,1016,119.1
145,1016,119.2
145,1016,119.3
145,1016,119.4
146,1016,119.5
145,1016,119.6
145,1016,119.7
145,1016,119.8
145,1016,119.9
145,1016,120
145,1016,120.1
145,1016,120.2
145,1016,120.3
145,1016,120.4
145,1015,120.5
146,1016,120.6
145,1016,120.7
145,1016,120.8
145,1016,120.9
145,1016,121
145,1016,121.1
145,1016,121.2
145,1016,121.3
145,1016,121.4
145,1016,121.5
145,1016,121.6
145,1016,121.7
145,1016,121.8
145,1016,121.9
145,1016,122
145,1016,122.1
145,1016,122.2
145,1016,122.3
144,1016,122.4
146,1015,122.5
145,1016,122.6
146,1016,122.7
145,1016,122.8
145,1015,122.9
145,1016,123
146,1016,123.1
145,1016,123.2
145,1016,123.3
144,1016,123.4
145,1016,123.5
145,1015,123.6
145,1015,123.7
145,1014,123.8
145,1015,123.9
145,1015,124
145,1015,124.1
145,1013,124.2
145,1014,124.3
145,1013,124.4
